AV_speed,AV_x,AV_y,AV_acc,AV_distance_to_light,nearest_light_x,nearest_light_y,nearest_light_state,AV_speed_enhanced,AV_acc_enhanced
5.843000411987305,2564.26171875,-396.1380004882813,0.342111587524414,10.797916412353516,2554.6978,-391.12546,3,6.101052193728032,0.04019319000738264
5.877211570739746,2563.754638671875,-395.845458984375,0.4157209396362304,10.21300983428955,2554.6978,-391.12546,3,6.10507151272877,0.0182836637707684
5.918783664703369,2563.242431640625,-395.5530700683594,0.4482126235961914,9.623682975769045,2554.6978,-391.12546,3,6.106899879105847,-0.002485655982127355
5.963604927062988,2562.7255859375,-395.2604370117188,0.4519081115722656,9.030179977416992,2554.6978,-391.12546,3,6.106651313507634,-0.023506134423412206
6.008795738220215,2562.20361328125,-394.9671936035156,0.4790258407592773,8.43189525604248,2554.6978,-391.12546,3,6.104300700065293,-0.04193597195540022
6.056698322296143,2561.676513671875,-394.6750183105469,0.4981040954589844,7.829589366912842,2554.6978,-391.12546,3,6.100107102869753,-0.06720844408236282
6.106508731842041,2561.142822265625,-394.3836364746094,0.4952049255371094,7.221816539764404,2554.6978,-391.12546,3,6.093386258461517,-0.1028879760226431
6.156029224395752,2560.60205078125,-394.0963134765625,0.4878616333007812,6.609591960906982,2554.6978,-391.12546,3,6.0830974608592525,-0.13969126862527936
6.20481538772583,2560.05419921875,-393.8114013671875,0.3301620483398437,5.99214506149292,2554.6978,-391.12546,3,6.069128333996725,-0.17997495840434752
6.237831592559815,2559.49951171875,-393.5301818847656,0.1196718215942382,5.370249271392822,2554.6978,-391.12546,3,6.05113083815629,-0.2174484469870297
6.249798774719238,2558.93798828125,-393.2582702636719,-0.0246000289916992,4.746417045593262,2554.6978,-391.12546,3,6.029385993457587,-0.2461711493056118
6.247338771820068,2558.37255859375,-392.9950866699219,-0.4117441177368164,4.123069763183594,2554.6978,-391.12546,3,6.004768878527026,-0.2747467577174323
6.206164360046387,2557.802978515625,-392.7426452636719,-0.6475734710693359,3.5011019706726074,2554.6978,-391.12546,3,5.9772942027552824,-0.3007854930390774
6.141407012939453,2557.236328125,-392.5036315917969,-0.4356622695922851,2.888550043106079,2554.6978,-391.12546,3,5.947215653451375,-0.32488163178182816
